,Comentario Corregido,Sentimiento
269,pésima atención por  persona que entrega  turno para ser ingresado  pésima limpieza se ven en  pasillos  capas que ponen sucias incluso de sangre no se tiene personal de enfermería un paciente tiene que atenderse solo que,neutro
270, atención en este hospital es pesima les calificara con cero pero no se puede mi mamá  día de ayer ingreso por emergencias le faltaba  oxigeno ingresamos a  2 de  tarde y hasta  6pm nunca  atendieron se les reclama al,neutro
280,pesima atención pascientes con fracturas pueden estar más de 15 días sin atención que clase de administración tienen y se dicen profecionales de  salud asco es lo que dan,neutro
281, verdad me siento decepcionado hace una media hora me regresé del hospital san francisco en quito a casa sin atenderme fuimos a emergencias un dolor en  pecho en  brazo y mareos soy diabético e hipertenso no querían que mi,neutro
283,se demoran demasiado en atender una emergencia no dejan ingresar a  familiares muriendo de frío afuera regresé con mi esposo sin que lo atendieran porque no aguantaba más  dolor,neutro
286,hay una tipeja que toma  signos vitales que no atiende apropiadamente se le explica  situación y aún así  no urgente un asco de servicio esta gente debería de ser despedida pero creen que es gratis y no no es gratis  atención son unos pseudo profesionales de profesionales no tienen nada,neutro
287,muy deficiente  trato que se da a  familiares de  hospitalizados si bien es cierto que sólo pueden dejar ingresar un visitante por paciente me parece ilógico y hasta un atropello a  derechos humanos pues no hay  debido,neutro
288,"parece que están sin ganas de atender y creen que hacen  favor o  gran sacrificio de atender a  personas
en fin pésima atención",neutro
289,es un gran hospital   todo en  últimos 5 años de gobierno es  falta de personal de salud  deficiente administración  poco presupuesto para medicinas ausencia de control y gestión en  mantenimiento de  equipos e,neutro
290, atencion medica es buena pero deberia mejorar en algunos aspectos y en algunos  personal de guardiania e hidratacion,neutro
291,atención pésima estuve en emergencia con un pronóstico reservado y en un examen tan  sacar sangre me dejaron  aguja metida chorreando sangre todo por preocuparse por  tubo de muestra se imaginan eso cuando uno estaba con,neutro
293,necesito hablar por teléfono con alguien del hospital y nunca contestan,neutro
294,para  recurso de  que disponen y  sueldo que les pagan a  empleados en  hospital relativamente bien se han manejado he estado por varias emergencias de familiares y  atención es relativamente buena,neutro
295,si no fuera por su sala de emergencia que es muy lenta y depende de  atención de  médicos del hospital para que ellos atiendan a sus afiliados en su tempo que les queda seria muy buena su atención,neutro
297,dice que  ubicación de este sitio es en  calle junín es erróneo si esto queda por carcelen señores de google por favor eliminen está ubicación en calle junín  parece que alguien puso a propósito un duplicado de este sitio en,neutro
298,estuve en  casa abierta y me   hospital trata  desechos químicos y  desechos contaminantes  estaban exponiendo algunas  empresa con  que trabajan   mismas que informaban  cuáles son  medios y,neutro
301, atención en emergencias es deficiente  veces que entré he logrado  pasan  tiempo sobre todo  doctores especialistas y no atienden de manera oportuna aunque exista espacio y personal libre en derivaciones,neutro
304,pésima atención lleve a mi niña de 4 meses y mi niño 4 años con dolor y diarrea  no tenían fiebre no  atendieron después de 6 horas me dicen que no es emergencia porque no tienen fiebre que espere 24 horas me fui de hay sin atención,neutro
306,fue decepcionante ayer martes desde  1320 ingrese a mi hijo recién al triage 1630 y me quedé hasta  1900 porque  que solo hay un solo médico y muchos niños con tanta dolencia que no fueron atendidos mi hijo fue con,neutro
309,son inhumanos se tanto tiempo aportando mi madre para que le manden paracetamol y ni siquiera realizan una adecuada valoración de  pacientes ahora mi madre está internada en otra casa de salud particular ya que  dicho seguro social casi me deja morir,neutro
313, doctores jóvenes que ni saben  protocolos  señoritas de admisión que no saben lo que es una emergencia y creen que tienen más poder que  doctores más practicantes que médicosun relajo todos por todo lado y después  covid es porque se sale a  callevergüenza,neutro
315,pésima atención en información imagen lo peor de lo peor y urología no saben tratar a sus pacientes son groseros y groseras especialmente con adultos mayores,neutro
316,si pudiera calificar a este centro de salud hablando por pediatría  calificación de este sería de 0  demás areas serían de una a maximo dos estrellas  dispensarios del ministerio de salud pública son un lujo  mejor de todos,neutro
318,estamos en emergencia con mi familiar angela maria ruiz alcivar en este momento y esta que se muere del dolor porque parece que tiene apendicitis y estos del iess nada que nos atienden estamos en  san francisco y resulta que nos tienen a,neutro
319,es muy triste e indignante lo que voy a contar de este centro de salud mi madre fue ingresada por emergencia  madrugada del 8 de agosto sobre  dos de  mañana a lo cual ella llega con un fuerte dolor de estómago pero  personas,neutro
320,"indignante
son  11 de  noche y mi abuelita a punto de tener un infarto nos ingresan a una sala para hacerle un electrocardiograma llega un medico y por preguntar si",neutro
321, ascensores no sirven y se necesitan para traslado de pacientes que no pueden subir gradas por reciente cirugía,neutro
322, atención es buena dentro de lo q cabe  médicos hacen su mejor esfuerzo pero  gente cree q siempre tiene prioridad,neutro
323,por emergencia desde  11am y siendo  1520 aún no somos atendidos hospital de  muerte,neutro
324,ayer esta un paciente muy grave y no le dan ingreso al hospital esta con peritonitis es un joven con ganas de vivir pero  hospital lo tiene afuera por más que le dieron  tralado pido un poquito de solidaridad que lo ingresen a una cama hospital san fransisco de quito,neutro
328,me envian al batan o cotocollao sabiendo q estan cerradas  vias por carrera de bicicletas,neutro
329,ubicacion erronea en  mapa aparece en calle junin    hospital san francisco del iess es en  av jaime roldos sector carcelen,neutro
331,nadie contesta  telefonos del hospital  es increible  falta de entrega del personal  necesito informacion urgente ya voy una hora de llamada y nadie contesta,neutro
333,buenas noches por favor de ibarra viaja una paciente de urgencia es afiliada al iess si esta  hospital en condiciones de recibirla,neutro
336, atención médica es aceptable si estas asegurado pero  atención es lenta y no te suelen atender rapido,neutro
339,toda  tarde gastando saldo para pedir una cita y nunca me contestaron lamentable,neutro
341,rapida atencion  en  mañanas antes de  horas  e inmediata respuesta,neutro
343, instalaciones son muy bonitas sin embargo  atención no es 5 estrellas,neutro
344,una de  mejores obras del iess  felicitaciones a  jefe,neutro
346, asco de atención telefónicacuelgan y dejan sin atención uno hay que prepararse con 10 de saldo mínimo para llamar a estos ineptos,neutro
349,un hospital   atención ha mejorado mucho en este 2018 en  exterior hace falta lugares de parqueo,neutro
351,"pésima atención y servicio deplorable
sin sistema y nada de información para  usuario",neutro
352, lugar es nuevo   siempre es  atención hay que llegar con un cuchillo clavado en  pecho para que te atiendanme refiero a emergencias,neutro
357,buenas tardes quisiera saber si estan cogiendo personal para limpieza y donde hay que dejar  carpeta gracias,neutro
359,pésima atención por parte de enfermería en cuidados,neutro
362,ola juan pablo si tu tienes ami mamá porfavor dime donde esta,neutro
363,desde  ingreso pésima imágen  guardias son unos altaneros,neutro
365,estoy desde  7am asta ahorira y no me atienden 1 pm,neutro
369,exigen que  acompañantes pasen  noche con  pacientes en una silla no es justo,neutro
371, amabilidad y  atención hacia  usuario muy agradecido,neutro
374,además de ser médicos son tambien amigos de  pacientes,neutro
379, hospitales del iess son  más modernos del país,neutro
380,lo mejor en atenciónel iess y sus nuevos hospitales,neutro
399,porque no les interesa  estado de  personas deben estar cansados de lidiar con lo mismo que se han vuelto insensibles,neutro
410,centro con varias especialidades lo mantienen limpio  guardias son un poco intransigentes debo acceder a veces con mi padre que tiene movilidad reducida y requiere de asistencia y no me dejan pasar,neutro
413,centro integral de especialidades muy buena atención  lugar muy limpio y ordenado,neutro
414,es limpio buena atención de  médicos solo que en  4to piso traumatología es pésima  atención en  triaje no menos precio  trabajo de personas venezolanaspero que pésima atención se dejan amontonar  gente así se pierde tiempo y  doctores piensan que uno es  que viene atrasado,neutro
415,están tomando todas  medidas del covid para  ingreso  sitio es amplio y limpio aún así no están asignando citas hasta que pase a verde  semáforo y me parece que por  dimensiones podrían habilitar al menos algunas consultas y especialidades para no limitar  servicio,neutro
422,me operaron  día viernes 14 de agosto por lo que mi hermana me está ayudando a gestionar  canje del certificado médico en  oficina del iess de  mariscal desde  lunes 17 primero no le atendieron porque estaba fuera de horario de,neutro
423,me siento muy inconforme ya que personalmente yo cogi una cita para  otorrino para mi hijo  cual me lo asignaron para  23 de enero y ahora que reviso en  me lo cambian al 15 de febrero  cual ni siquiera an tenido ,neutro
425,muy buena atención a  afiliados  ojalá no cambien  empleados de esta institucióngracias al gobierno que ha sabido hacer una buena inversión con  dinero de  asegurados,neutro
426,no dejan ingresar a dos personas para turnos de pediatría,neutro
428," auxiliares no tienen paciencia y les falta inducción
cuidado  de  bienes muebles",neutro
429,son unas basuras de personas en atención al usuario,neutro
432,dice que esta abierto  sábados y acabo de ir y no está abierto,neutro
440,por  disponibilidad de extensión  de trucos y  atención  de sus profesionales,neutro
448,abierto recientemente impresionante infraestructura médica,neutro
449,es  segunda vez que acudo hacerme exámenes de laboratorio después de conseguir una cita desde hace 3 meses para llegar hacer una fila enorme a  madrugada y que me den  agradable noticia de que solamente podían hacerme un exámen de 4,neutro
450,fuí a  1 de mañana con un dolor intenso y vomitando por  vesícula lo único que me dijeron fué no hay sistema vaya al hospital iess del sur   personal es negligente,neutro
451, recepcion a  pacientes es demasiado robotizada por favor señores guardias aprendan relaciones humanas y señores y señoras recepcionistas a un hospital no se viene por deporte sino por necesidad,neutro
456,se debe mejorar  servicio al menos en  área de validación de certificados es pésima  atención  cantidad de personal o  horario no abastece a  demanda solo se atienden 50 personas al día  colas para alcanzar un turno son,neutro
457,"uno se acerca con tiempo para que le tomen  signos vitales a 720 de  mañana ya que se tiene vita medica a  820
va uno con tiempo para que no se aglomere  turnos y no le atiendan más tarde",neutro
458, peor atención  guardias ni que decir y si vas a  emergencia un fin de semana solo te atienden estudiantes sin experiencia lamentablemente esto pagamos y es un servicio de pacotilla,neutro
459,hoy 201023 mi esposo se encuentra desde  4 de  tarde en este hospital si así se le puede llamar porque presenta inflamación en  ganglios linfaticospero para  enfermeras de este lugar eso no es una emergencia y por ende,neutro
462,es pésimamente  atención a  pacientes ni siquiera entienden  palabra de urgencia médica hay  son de tercera edad q deberían ser  propiedad de atención   niños pero ni ha eso señores,neutro
463,perifoneo constante de propaganda de ópticas por  sector,neutro
464,cuando llegue le atendieron a mi hija mejor que clínica privada salí muy satisfecha,neutro
468,emergencias me atendió de inmediato por  estado en que me encontraba no hubo tetanol salí de ahí y me tocó buscar en otros lugares consiguiendo únicamente en novaclinica quienes para administrar  medicamento me hicieron regresar al,neutro
469,pésima atención se demoran en hacer pasar  turnos sí  usuarios que ya se encuentran ahí para  respectivo turno deberían hacerlos pasar si  que llegó atrasado que pena que aprenda a ser puntual al turno asignado y por impuntual no va perjudicar a  que si llegan puntuales,neutro
472,si pudiera poner 0 estrellas lo hiciera 5 horas en emergencia y nunca fue atentido mi hermano no es gratis es pagado  peor atención que verguenza de servicio,neutro
473,hospital del día sangolqui posee grandes y cómodas instalaciones adecuadas para  pacientes que acuden porservicios médicos a sus instalaciones constituye uno de  hospitales que conforman  red de servicios médicos delieess ,neutro
475,es una pésima atención han pasado más de una hora supuesta mente atendiendo un paciente y resulta q era familia del doctor se supone q emergencias se   su nombre lo dice por emergencia me parece una falta de respeto de parte del drmoncayo de medicina general 1,neutro
478,con  presidente lasso todo empeoró que pena porque ella sistema de salud en ecuador era un referente hace 10 años,neutro
482,siempre hay que hacer filas larguísimas para sacar turnos y hay que hay que ir en días diferentes para sacarlas,neutro
486,imposible una cita medicina general  autoridades están ausentes no hay información  call center demuestra  ineptitud de  atención no se pude conseguir cita para cuándo,neutro
488,hola necesito ayuda por favor esq a mi hijo tienen q operarle de  testículos  tiene 2 años y medio pero no sé si le operen ahí mismo o le manden al vaca ortiz alguien me puede ayudar,neutro
490,podrían mejorar  atención a   tener más interés en  salud,neutro
491,  todo hospital público para exámenes médicos se  ir a  500 am mucha gente,neutro
494,es  lugar donde tu familiar  por negligencia médica puede morir,neutro
495,buena atención dios bendiga a  prestadores de salud,neutro
496,atención rápida y todo parece  se ve limpio y seguro,neutro
501,buena atención cuidan  procedimientos anti covid,neutro
532, día de hoy mi hija tenía cita cita médica pero  pediatra no quiso atenderle ahí nadie hacia nada más que conversar y estar en  celular hasta  dra déspota prefirió no atender a mi hija que le dije que está enferma con fiebre y,neutro
537,no hay turnos por  no hay medicinas no atienden en  laboratorio para  agendamiento de citas en  tarde no hay reactivos para exámenes de laboratorio por ende no dan cita para exámenes de laboratorio dan citas para exámenes de imagen después de 4 meses todo un desastre con este gobierno,neutro
538,se puede mejorar  atención a  pacientes en  áreas en dónde se toma de turnos para  exámenes y también en farmacia,neutro
539,"no sé para que se asigna citas si  médicos no atienden a tiempo se llega con tiempo respetando lo que indican pero no atienden
 enfermeras no dan información y se pasan conversando en lugar de ayudar
este servicio no es gratuito mensualmente pagamos por  se debe mejorar",neutro
